User,Tweet
Aproko Doctor™,"11 more people have recovered from the Coronavirus in Lagos.

11 more people have recovered from the Coronavirus in Lagos.

11 more people have recovered from the Coronavirus in Lagos.

There's hope. Stay safe, stay home. 

Wash your hands.
Don't smoke"
ᗰᵉˡ 🌷,"Who downplayed #coronavirus? 

Wasn't the president. Every time he mentioned it, they did this 👇🏼

https://t.co/dLzann4yLY"
Gustavo Rugeles,Dato: @MinSaludCol confirma que el oficial de la Operación Jaque no falleció por Coronavirus. Infame falsa noticia del expresidente periodista @JuanManSantos que además reveló el nombre que siempre fue confidencial para proteger a su familia. https://t.co/GWnlZC5V0W
Los Angeles Times,How to make your own coronavirus face mask — including a no-sew one https://t.co/R9Eh2ffCuF
Fonsi Loaiza,Mercadona es una de las grandes empresas beneficiadas del coronavirus. Está batiendo récords de venta y ha captado el 40% de ventas durante el Estado de alarma. Juan Roig con 7.000M€ de fortuna ha despedido hoy a trabajadoras eventuales que se irán a la calle sin derecho a paro. https://t.co/rLVSmmZGez
Jason Schreier,"BREAKING: Sony is delaying The Last of Us II indefinitely due to the coronavirus pandemic. A Naughty Dog source tells me the game is basically done, and this decision was made purely for economic/logistical reasons https://t.co/W2pRJ3TXmV"
Joy Reid,"200,000 Americans may die of coronavirus. 200-THOUSAND. Sorry I just can't wrap my head around that scale of death; much of it alone and lonely. And for a president to not show compassion for that-to quip about his Facebook stats and not try everything possible to prevent it? Wow"
Kyle Griffin,"Asked about McConnell blaming impeachment on being unprepared for coronavirus, Pelosi tells @MSNBC, ""either you can't handle your job, but don't blame impeachment on that. Just blame it on the fact that you didn't want to face the reality. That denial and that delay cost lives."""
Martin Lewis,"CONFIRMED &amp; NOW OFFICIAL! PLS SHARE

Employees who were on a firm's payroll on 28 Feb, who left after to start new job, which fell thru due to Coronavirus (eg. didnt start/or they're making u redundant). Your old employer CAN rehire you to furlough you. Offical statement... https://t.co/FDVTdgSuFr"
Bryan Dawson,"🔔EXCLUSIVE to the @thedailybeast - Unclassified documents reveal US Army warned Trump administration on Feb. 3 that up to 150,000 Americans could die from #COVID19 

#coronavirus #TrumpOwnsEveryDeath 
https://t.co/TdwEo4OyLc https://t.co/DfttLUsMUp"
Norbert Elekes,"BREAKING: Number of confirmed cases of coronavirus reached 1,000,000 worldwide."
Chuck Schumer,"Sen. McConnell implying impeachment as the reason for President Trump’s poor response is ridiculous

I called for action Jan 26—Why'd it take so long?

He needs a military officer as gov-wide ""czar"" of production &amp; distribution of medical supplies NOW
https://t.co/KbAPP3HWv5"
Scott Dworkin,"Speaker Pelosi brings the fire to Trump and Moscow Mitch for blaming their failed coronavirus response on impeachment: “That’s so sad. They can’t handle their jobs.” They should “blame it on the fact they didn’t want to face reality and that denial, and that delay, cost lives.” https://t.co/L0l1EA4Bxb"
Natasha Bertrand,"Most of the 100,000 ventilators that Trump promised the U.S. would obtain won't be available until June, FEMA officials told the House Oversight Committee this week. https://t.co/7JdmBuD3rr"
eldiario.es,"España, segundo país del mundo en recuperaciones de coronavirus. Ya son 26.743

https://t.co/84eNxNQ6Dz https://t.co/kjqdCdxC1c"
Joy Reid,"I would love to hear Trump asked: ""Mr. President, in 2014 you said if a doctor who treated ebola patients in Africa came back infected, President Obama should apologize and resign. Should you apologize and resign over your handling of the COVID-19 crisis?"" https://t.co/63FQMn2Mae"
Aditya Raj Kaul,"National Security Act slapped against 4 persons in Indore, Madhya Pradesh by @ChouhanShivraj Government for attacking doctors yesterday dying #COVID19 work. The NSA slapped against the following:

1) Mohammad Mustafa (28) 
2) Mohammad Gulrez (32)
3) Shoaib (36) 
4) Majid (50) https://t.co/AwvWMyOktz"
🇧🇷Ailton Benedito,"@deltanmd ""Especialistas"", jornalistas e democratas de retroescavadeira pregam que ""recomendações"" da OMS  sobre #CoronaVírus sejam cumpridas à força no Brasil, mas não distinguem orientações de ""distanciamento"", ""isolamento"", ""confinamento"". E, ainda, tratam os brasileiros como idiotas."
Iván Espinosa de los Monteros,"Felicidades a la gran @Macarena_Olona por haber superado el #CoronaVirus, y por ese negativo que le permitirá volver a abrazar a su bebé tras semanas de separación! 👏👏👏#LaMásMolona https://t.co/6vRoLOnV8v"
Sky Sports News,"""Take a pay cut, play your part""

The Secretary of State for Health and Social Care Matt Hancock has urged Premier League footballers to take a pay cut and make a contribution to help in the battle against coronavirus. https://t.co/vZjVgB3BiJ"
ABC.es,🔴#URGENTE Despliegue militar de EE.UU. frente a Venezuela en plena crisis por el coronavirus https://t.co/szxEloSWZ5
Stefano Fassina,"Cari @PaoloGentiloni e @DavidSassoli perché, durante una tragedia come #COVIDー19 , ci fate umiliare così da @vonderleyen @commissione @repubblica ? Il #Sure è un grande bluff. Qui è spiegato: https://t.co/oLA2N7HT5c"
Nancy Pelosi,"The Congress has so far passed three pieces of legislation totaling over $2 trillion in emergency relief. To ensure that your tax dollars are being spent carefully &amp; effectively, I am announcing the formation of the bipartisan House Select Committee on the Coronavirus Crisis."
Shams Charania,"76ers’ Al Horford (@Al_Horford) has donated $500,000 to aid coronavirus pandemic in his home country of the Dominican Republic, as well as each U.S. region in which he has played basketball (Michigan/Gainesville, FL./Atlanta/Boston/Philadelphia)."
BNO Newsroom,BREAKING: More than 1 million confirmed cases of coronavirus worldwide https://t.co/ACTvkkQ0g2
Middle Age Riot,"If the coronavirus had been a potential witness in his impeachment trial, maybe Donald Trump would have done more to stop it."
Brooke Singman,"EXCLUSIVE: @realDonaldTrump's campaign has been quietly calling local restaurants and ordering large amounts of food to be delivered to hospitals in an effort to feed doctors,nurses&amp; first responders and support local restaurants #coronavirus #COVID19 

https://t.co/6A3Zfe5QEz"
Imam of Peace,"104-year-old Bill Lapschies survived World War II, the Spanish Flu pandemic and is the world's oldest coronavirus survivor. Happy Birthday. https://t.co/RAm8ic5zRP"
Benny,Beijing is pushing to become a public health superpower—and quickly found a willing international partner. https://t.co/Mrxfw70fKl
🏳️‍🌈Rubén López🏳️‍🌈,"Una mujer de 101 años que sobrevivió a la Gripe de 1918 (gripe española) , a la II Guerra Mundial y la guerra fría, acaba de recuperarse de coronavirus... 💪💪💪 https://t.co/NJaqI1BBO5"
Aditya Raj Kaul,#BREAKING: Shivraj Singh Chauhan Government in Madhya Pradesh slaps National Security Act against 4 persons involved in violent attack &amp; stone pelting in #Indore against doctors &amp; health workers working for prevention of #COVID19. Strong message sent out to hooligans &amp; mobsters
Babajide Sanwo-Olu,"Let me reiterate that this is not the time to relax, but to maintain our vigilance because of the community infection that we are beginning to see. 

I assure you that at the end, we will hoist a flag of victory - with your cooperation and by the grace of the Almighty.

#COVID19"
Rachel Maddow MSNBC,"Louisiana sees 42% rise in confirmed cases in one day.

https://t.co/gSD4otobpt"
Babajide Sanwo-Olu,"The patients include two females and nine males. Their results came out negative in two rounds of tests.

I want to use this opportunity to, once again, thank our frontline health workers and other professionals for their service.

#COVID19"
Babajide Sanwo-Olu,"I am happy to break to you, my good people of Lagos, the news of the release today of 11 more patients from our facility in Yaba.

They have fully recovered and have tested negative to #COVID19 and have been allowed to return home to their families."
Citizens for Ethics,"Massachusetts only received 17% of aid requested and Maine 5%, while Florida will receive its 3rd shipment of 100% of aid requested. We’re investigating if the Strategic National Stockpile is distributing aid based on Trump’s personal preferences. 
https://t.co/OQEsNWrzex"
Rafael Correa,Coronavirus en Ecuador: más de 700 muertes registradas en dos días https://t.co/yt2c3qTWiJ
Dan Price,"Boeing is cutting jobs after:
*Giving the CEO it fired over the MAX scandal $80.7M on the way out, enough to pay 939 workers' salary
*Getting up to $17B in COVID aid
*Spent 74% of free cash flow on buybacks last decade
*Got $8.7B subsidy from WA state
https://t.co/pwgZZSxJYx"
Rachel Maddow MSNBC,"""Larrice Anderson, 46, a nurse at New Orleans East Hospital, tested positive for COVID19 and died this week.""

""LA doesn't report the number of cases among health workers. States that do, like OH &amp; MN, are reporting around 20% of cases are health workers""

https://t.co/fwicwXDFmB"
Rep. Jim Jordan,"Big government regulations shouldn’t restrict private companies from making hand sanitizer during the #COVIDー19 crisis.

The American people deserve better.
https://t.co/wgQpMe8Ibs"
Claudia Wild,"O coronavírus está avacalhando teatrinho da República. Tem presidiário rasgando seda para ex-rival, gestor imaginário de crise, que comovido mostrou bandeira branca para o larápio. Tem democrata sem Rivotril pedindo o Exército (Golpe Militar) nas ruas para derrubar presidente."
YoNoSeFilosofar 😱,"Verdades reveladas en tiempos de Coronavirus:

— El Jabón Rey, ha hecho más por el país que Sergio Fajardo."
Joshua Wong 黃之鋒 😷,"That is shocking news to #HKer to hear that our dearest friend James Gordon - Lord Gordon of Strathblane - just passed away due to #coronavirus. As one of the members of All-Party Parliamentary Groups on HK, he has been supporting democracy and defending human rights in #HK. https://t.co/Tu6kfDrFRJ"
Chuck Woolery,"A perfect example of LiberalProgressive logic. Release prisoners because of Coronavirus. If you are caught out side your home, put you in jail because of Coronavirus."
Ronna McDaniel,"The failed action of Democrat Governor Gretchen Whitmer continues.
 
From delayed requests for assistance to wildly unsubstantiated attacks on @realDonaldTrump, now this.
https://t.co/JyFgWA5KzX"
Jim Hoft,"HERE WE GO... UN Wants a 10% Global Tax to Pay for New ""Shared Responsibility"" Program to Address Coronavirus Pandemic https://t.co/yB8PWnqVel @GatewayPundit"
Gaurav Pandhi,"Shahrukh Khan is so classy. He donated to PM-Cares fund to fight Coronavirus #Covid19 &amp; unlike others, he didn't publicise the amount. That's how you do it. It's supposed to be donation, not PR. You're ♥️ @iamsrk !!"
Teodoro García Egea,"Cada vez que España pasa por momentos complicados, el PP responde.

Hemos creado un fondo común para que nuestros cargos públicos donen parte de su sueldo para ayudar a todos los que están luchando contra el coronavirus."
John Solomon,Patriots football team plane jets to China to pick up 1.2 million masks for first responders and medical staff https://t.co/Y8GmN2zkiJ
Nancy Pelosi,"With Native communities across the United States at risk, @HouseDemocrats are working to protect lives in Indian Country – ensuring tribes and @IHSgov have the resources needed to stop the spread of the coronavirus and save lives. #CoronavirusIndianCountry"
Senator Ted Cruz,"The Chinese Communist Party punished journalists and doctors trying to speak the truth and instead spread lies and disinformation in a failed effort to keep the #coronavirus a secret. As a result, millions of lives across the globe are now at stake. https://t.co/8PN40jpYHo"
Michael de Adder,Cartoon for April 2. #coronavirus #COVIDー19 #Trumpdemic #Facebook https://t.co/zzovbjgXm7
ن jurumi,"🚨La vidéo qui commence à faire du bruit aux États-Unis!
Le docteur Stephen Smith déclare que PAS UN SEUL des patients à qui il a administré hydroxychloroquine &amp; azithromycine (cad le protocole de #Raoult) n'a eu besoin d'assistance respiratoire.
#COVID19 
https://t.co/EK0I3tZRwv"
Padre Guillermo Serra LC,"Se cierra de forma indefinida (por el coronavirus), el lugar más sagrado para el cristianismo, la IGLESIA DEL SANTO SEPULCRO en Jerusalén.
La última vez que cerró así fue en 1349 durante la Peste Negra. https://t.co/knRGw1Bjby"
Jake Tapper,"WSJ: From her bed and nursing a 101-degree fever, Dr. Mary Krebs used her laptop to consult 130 patients over two days https://t.co/ALtDh0O3Xr"
EL MUNDO,Putin da vacaciones con sueldo a todo el país durante abril por el coronavirus https://t.co/XcEzG6jq79
"Scott Gottlieb, MD","Growth in total confirmed #COVID19 cases as a percent of total population by country: U.S. versus Spain and Italy. (Indexed to days since the first 100 cases were confirmed in each country). U.S. is still early, but on slower relative trajectory when compared to Italy and Spain. https://t.co/KBCxGN2apq"
Bill Kristol,"Rush Limbaugh, on Feb. 24, quoted by ⁦@JVLast⁩: “Now, I want to tell you the truth about the coronavirus. You think I’m wrong about this?...Yeah, I’m dead right on this. The coronavirus is the common cold, folks.” https://t.co/oKCnb7cTTP"
OpIndia.com,"Nasik police arrest Muslim man after video of him wiping his face with currency note and saying “Coronavirus is Allah’s punishment to you” went viral on social media

https://t.co/YKjwE2eKxk"
Nikki Haley,"China has reported only 82,000 coronavirus cases &amp; 3300 deaths in a nation of 1.5 billion people.This is clearly not accurate.China cares more about its reputation than helping the rest of the world defeat a virus that was started in their country. #WeWontForget
@standamericanow"
Ted Lieu,"If the Georgia Governor had watched mainstream news channels like @MSNBC, @CNN, @abcnews, @NBCNews, @CBSNews, he would have known asymptomatic people can spread #COVIDー19. Or if he had simply read mainstream newspapers.

Where was this GOP Governor getting his information from? https://t.co/M8eiJJ1WJ4"
Tarek Fatah,"Is this a ritual or were these men asked to self-isolate themselves into seclusion but chose to indulge in self-induced sneezing to help spread the #Coronavirus in India. 
https://t.co/fYYSpom9sW"
AJ+,"BREAKING: The FDA updated blood donation rules for LGBTQ+ men, citing ""urgent"" need for blood during the #COVID19 pandemic. Men can donate after 3 months of no sexual activity with another man, down from 12 months. https://t.co/XnQ4IXV2te"
Parody Boris Johnson,"As Matt Hancock says, we will be writing off 13.4bn of NHS debt. 
Which is only fair, since we caused the debt through years of under funding.
#COVIDー19 #DailyBriefing"
ABC News,RECOVERY COMPLETE: Celebratory scenes as 93-year-old patient is discharged from hospital after beating coronavirus. https://t.co/S90kL4fJgw https://t.co/UP4FzO5els
World Health Organization (WHO),"Many people are making great sacrifices to #StayHome &amp; protect their health &amp; that of others from #COVID19.

Here some ideas to stay healthy:
🏃‍♀️Be active
🥕Eat healthy 
🚭Don’t smoke
🧘‍♀️Meditate
📚Read books

Join the new @WHO challenge &amp; show us what you do to be #HealthyAtHome! https://t.co/f9adab39Ci"
Ken Miles,"""mais um morto por coronavirus""

imprensa: https://t.co/F1Yhfd528S"
Tarek Fatah,"Muslim man wipes his nose and mucous on currency notes to spread #coronavirus pandemic. He claims there is no cure for #COVID19 because it is disease sent by Allah to destroy infidels. 
 https://t.co/g0TRlOgkIf"
eldiario.es,Casado evita firmar una carta junto a otros 13 partidos conservadores de la UE pidiendo la expulsión de Orbán del PP europeo por las medidas de Hungría ante el coronavirus https://t.co/GFFnWx8LjY Informa @inigoaduriz
NHS England and NHS Improvement,"Our @CNOEngland Ruth May is joined by some familiar faces to say a very big #ThankYouNHS to all of the incredible staff, carers and volunteers across health and care. 💙 #COVID19 #ThankYouThursday #OurNHSPeople https://t.co/X96HuTWoos"
Marker by Medium,"Around the world, in countries afflicted with the coronavirus, stores are sold out of toilet paper. 

And we all know who to blame: hoarders and panic-buyers, right?

Well, not so fast, writes @WillOremus. https://t.co/RoR26dKzML"
jade bentil,"The first person in Britain to be arrested and convicted under the Coronavirus Act is a Black woman. Arrested and fined for 'failing to provide identity or reasons for travel to police, and failing to comply with requirements'. Britain 2020."
Jeff Yang,"This is not it, Andrew.

It shouldn’t be on Asians to prove we’re American by sacrifice. That hasn’t protected us before and won’t now.

We prove we’re American by fighting things that should be un-American, like racism—and not just when it happens to us.
https://t.co/0OsmxeO2oh"
Carlos Albert Ll,Un dato conmovedor.... El número de muertes de mexicanos por hambre y por falta de atención médica elemental. Supera por cien El número de fallecimientos que sufrirá nuestro país por el Coronavirus... Esto  es triste y nos debe hacer reaccionar y reflexionar señores del dinero
Ministerio de Salud,"Donación de @cervepar_ fortalece lucha contra el #COVID19

🔸 120.000 unidades de alcohol en gel. 
🔸 Prestación de depósitos, 50 camiones y 200 heladeras para el traslado de insumos y almacenamiento de medicamentos.

➕INFO https://t.co/31URyrzmCs https://t.co/qcuiOCT96P"
ABC News,"JUST IN: Travel data of passengers arriving in the U.S. from China during the critical period in December, January and February shows a stunning 759,493 people entered the U.S. https://t.co/cuPZK1Nzwf"
Dan Scavino Jr.🇺🇸,“Nurses gather to pray on rooftops during coronavirus pandemic” https://t.co/SNgI0iDo0O
Alyssa Milano,This is from February. Biden was talking about the coronavirus before anyone else was. https://t.co/CsyDUFVEEN
Imam of Peace,"Muslim paramedic shaves beard to protect people during coronavirus pandemic.

Shumel Rahman, who works for the North East Ambulance Service, says his beard was an important part of his faith but he made the decision to shave it off to help save lives.❤️ https://t.co/UdrJLdtJnu"
Melania Trump,"Just spoke w/ Mrs. Sophie Grégoire Trudeau of #Canada. I expressed well wishes for her good health, following her recovery from #COVID19, &amp; my gratitude for the special relationship between our two countries as we address the challenges related to the pandemic."
Claudio Borghi A.,Prima mandano sotto processo Salvini per la Gregoretti... poi ci pensano bene e con 11.000 morti ecco che per loro pensano allo scudo penale.  https://t.co/kvZgApHogE
Mike Galsworthy,"Gah!

@MattHancock complaining that Germany had more diagnostics capacity than UK when coronavirus crisis started.

Well then *WHY* did the UK not participate in EU procurement scheme... and request diagnostics alongside PPE?

#HugePolicyFailure"
ACTBrigitte,"President @realDonaldTrump donated his salary to fight the coronavirus. 

Nancy Pelosi asked for a raise. 

That’s all you really need to know."
L'ÉQUIPE,"Samuel Eto'o s'est montré ulcéré par un échange entre deux professeurs sur LCI, évoquant la nécessité de faire des tests en Afrique pour mesurer la potentielle efficacité d'un vaccin contre le coronavirus : https://t.co/97D6ntAWmB https://t.co/BA56CJdvRT"
Professor Chris Whitty,"New guidance on PPE has been published. This was
a collaborative effort across a range of professional groups, including the
Medical Royal Colleges and experts in the field. The guidance is in line with
WHO and expert advice. The UK CMOs fully support it. https://t.co/D4Tugp6N82"
Momentum,"When all of this is over, we must remember the people who saved us.

#Covid19 #CoronaVirus #ClapForKeyWorkers https://t.co/jlzOQqmJTY"
Actu17,"🔴 Coronavirus : Un syndicat de police dépose plainte contre Édouard Philippe, Christophe Castaner et Laurent Nuñez pour «mise en danger délibérée de la vie d'autrui» https://t.co/RFhPH7PrzI"
William De Lucca,"Jair Bolsonaro publicou no Diário Oficial a medida provisório que permite que empresas suspendam o contrato de trabalho e salário dos trabalhadores.

Jair Bolsonaro ainda não publicou no Diário Oficial o projeto que garante renda mínima pra trabalhadores por conta do coronavírus."
News24,"LIVE | All spaza shops can stay open, informal fruit vendors can now also trade provided they have a permit | #Day7ofLockdown

Follow the briefing on: https://t.co/fa62Fx0ye7 https://t.co/AkWJf6iPn6"
Cristian Crespo F.,"El mundo no habla de otra cosa que de la pandemia del #coronavirus, los infectados aumentan, los fallecidos aumentan, la crisis aumenta, los estragos aumentan, la economía se contrae... pero EE.UU. decide priorizar el tema #Venezuela, mueve flotas, gasta recursos...por algo será."
BrooklynDad_Defiant!,"Chris Cuomo, in Day 2 of having the coronavirus, tells his hallucination dream where brother Governor Cuomo is wearing a ballet outfit, waving a wand and dancing away.

These guys give me life! 
🤣🤣🤣🤣🤣🤣🤣 https://t.co/4sWq5PbPQ1"
newtgingrich,Speaker Pelosi versus patriotism. How could any serious person suggest that the people fighting against the coronavirus 7 days a week should now take time to deal with subpoenas from a House investigation. I am appalled at her lack of concern for American lives.
Kiff,Harapan untuk PKP tamat pada 14 April macam tipis. China yang katanya dah zero infection pun mula ada kes baru dan dorang dah bersedia untuk second wave dan masih rahsiakan jumlah kes baru. Boleh baca full article dekat sini https://t.co/TCVSJV67eX
Elizabeth Fuentes,Rafael Correa monta una red internacional- incluye Venezuela-para lanzar una campaña de terror contra Lenin Moreno en relación al Coronavirus.  To be continued...
Felipe Calderón,".@Reforma: sólo un productor está autorizado para fabricar y vender pruebas contra coronavirus. Está totalmente rebasado. Produce 12,500 a la semana y otros proveedores 10,000 diarias. La solución es autorizar a Estados y labs particulares la importación de pruebas moleculares. https://t.co/rL5obq492L"
Sheldon Axler,The electronic version of my book Linear Algebra Done Right is free until the end of July. This generous gesture by Springer Nature is intended to help out during the coronavirus pandemic. The book can be downloaded at https://t.co/6udavunAtN. https://t.co/svU3m4qXUT
Ken Dilanian,"The cost of ignorance is measured in lives.

Georgia's GOP governor admits he just learned asymptomatic people can spread coronavirus https://t.co/GojHEwfCl7 via @nbcnews"
🐘 Crai 🐘,"Ayer falleció mi vecino de toda la vida de Mendoza. Había vuelto el 3 DE MARZO de Mar del Plata, sin síntomas. SIN SÍNTOMAS, payaperiodista del Pirovano. Murió de coronavirus. Los vecinos escracharon en todos lados a sus hijos, mis amigos, y hay peligro de que le rompan la casa."
Benny,"REMINDER: Bernie Sanders was asked if he would close the borders if he “had to” to stop the spread of Coronavirus.

He replied “No” and then he called President Trump “xenophobic”.

 https://t.co/mEgvNEHLxj"
Norbert Elekes,"BREAKING: Italy reports 4,668 new cases of coronavirus and 760 new deaths.

Total of 115,242 cases and 13,915 deaths."
24 Horas,La empresa indicó que todos los supermercados fueron informados de la medida. https://t.co/FgUQZYi3gW
Sean Davis,"In New York, the IMHE model predicted that as of yesterday, 50,962 people would have been hospitalized as of yesterday due to the Wuhan coronavirus. The actual number? 18,368. https://t.co/9aVsVogUQ5"
Sean Davis,"Let's look at some state data. The IMHE model predicted that 1,716 people in Texas would have been hospitalized yesterday due to the Wuhan coronavirus. The actual number of hospitalized Texans? 196 people. https://t.co/1YCLKP6TJb"
Sean Davis,"The IMHE model for the Wuhan coronavirus that the White House is relying on is garbage. It is using NY/NJ data and applying it to the rest of the U.S.

It predicted that over 121,000 Americans would be hospitalized yesterday over the coronavirus. The actual number? 31,142. https://t.co/vZCGXB5HLN"
Rex Chapman🏇🏼,"In Toronto, several tenants of a building were worried they couldn't pay their rent during the Coronavirus pandemic.

Their landlord sent them this letter.

His name is Chris.

Be like Chris.

Humanity.🌎❤️ https://t.co/bhHymkYkiv"
TribLIVE.com,"University of Pittsburgh School of Medicine announced that the vaccine, when tested in mice, produces antibodies specific to the coronavirus SARS-CoV-2 that could be enough to fight off the virus. https://t.co/kS718NLwMU"
Scott Dworkin,"BREAKING: Speaker Pelosi announces bipartisan committee to oversee coronavirus relief to “root out waste, fraud &amp; abuse, protect against price-gouging, profiteering &amp; political favoritism."" And ensure response to outbreak is ""based on the best possible science"" &amp; health experts."
Josh Hawley,"I am furious to hear that the SBA is WRONGLY telling churches and lenders that churches and religious nonprofits don’t qualify for the new #COVID19 relief program. This needs to be fixed immediately, or this program will not work"
Candace Owens,"I don’t know who needs to hear this but— a chipped tooth is not a symptom of #coronavirus.

It’s a symptom of bad veneers. https://t.co/wyYf8OPORb"
Shefali Vaidya.,"Tamil Nadu is sitting on the brink of a #coronavirus disaster, thanks to the giving nature of the #TablighiJamaat, but the Lemurians will not say a words against the super spreaders."
Richard W. Painter,"This may be the most massive intelligence failure in U.S. history.

Exclusive: The Military Knew Years Ago That a Coronavirus Was Coming via @thenation https://t.co/7QArA3QaZR"
Breitbart News,Here it comes... https://t.co/6iQK39r4Ui
Tariq Nasheed 🇺🇸,"On my broadcast last night, I talked about these suspected sleeper cells going around deliberately spreading the #COVID19 virus.
#smh https://t.co/ioFLkdW3VB"
Rafael Lacava,Debo agradecer a todos los q han apoyado y colaborado para hacer posible q hasta ahora todavía Carabobo esté en CERO con casos de CoronaVirus. Gracias de verdad a nombre de este noble y heroico pueblo por todo lo q hacen. Aquí nadie se rinde. Q viva Carabobo 🦇🦇🦇 https://t.co/vvR73FiBps
Christophe Castaner,"#COVID19 | Après deux semaines de confinement, les Français se sont appropriés ses enjeux et ses règles.
Dans @le_Parisien, j'annonce la mise en place d'une attestation numérique : une nouvelle solution, simple et sûre, développée par les équipes du ministère de l'Intérieur. ⤵️ https://t.co/YZwI4KMJDJ"
Andrew Cuomo,"Every county in New York has now reported a Coronavirus case.

This virus has marched across our state.

We have counties with more cows than people. That didn’t stop it.

Urban, suburban, and rural: We're all affected.

It will march across our nation next."
Bill Gates,"If we make the right decisions now—informed by science, data and the experience of medical professionals—we can save lives and get the country back to work. You can read more about my thoughts on #COVID19 on my blog. https://t.co/KN58B8Hs11"
Bill Gates,There’s no question the United States missed the opportunity to get ahead of the novel #coronavirus. But the window for making important decisions hasn’t closed. The choices we and our leaders make now will have an enormous impact. https://t.co/mAa2XWwBIB
Ajit Anjum,"हरिद्वार में फंसे गुजरात के 1800 लोगों के लिए स्पेशल इंतज़ाम ? 
नियम तो सबके लिए एक होना चाहिए .फिर ये कैसे ? 
अच्छा ..अगर इनके लिए #lockdownindia
के दौरान भी बसों का इंतजाम हो गया तो बाकियों के लिए भी हो जाता 
 https://t.co/JhzVcB0YvF"
Brad Parscale - Text TRUMP to 88022,"Cable news has been cutting away from @realDonaldTrump’s coronavirus briefings &amp; threatening not to air them at all.

Over 300K people have signed a petition demanding that the #FakeNews keep people informed by carrying the briefings.

Add your name now!

https://t.co/vChj9fm546"
Jitender Sharma,"ग़ाज़ियाबाद के #IsolationWard में रखे गये तबलीगी जमात से आये #CoronaVirus के मरीज महिला नर्सों के साथ अश्लीलता कर रहे है, बिना कपड़ों के घुम रहे है और अश्लील गाने सुन रहे है। CMO ग़ाज़ियाबाद ने @ghaziabadpolice को शिकायत दी है। https://t.co/mvPixuNXKD"
Isabel Díaz Ayuso,"Somos una pequeña autonomía peleando en un mercado internacional en las peores circunstancias. 

Madrid, casa de todos los españoles, ha sufrido trágicamente el zarpazo del coronavirus. Pero sabemos levantarnos y pelear. 

Y nuestro primer avión ya ha aterrizado. #ResisteMadrid https://t.co/doOx72n5qg"
Shiv Aroor,"BREAKING: Delhi records biggest single day spike in #Covid19 cases — 141 in last 24 hours, of which 129 are persons who visited the Nizamuddin Markaz. 

4 deaths today, of which 2 were persons who visited the Markaz."
CATERINA VALENTINO,"#2Abr Una vacuna eficaz contra coronavirus desarrollada en #Israel podría estar lista en los próximos días y comenzaría a ser probada en humanos a partir del 1 de junio, informó el cientifico que lidera la investigación del Instituto de Investigación de Galilea (MIGAL).
Infobae."
VanessaVallejo,"Día negro para España: 950 personas mueren en 24 horas, récord de la epidemia. Ya son 10.003 muertos por Coronavirus. 

Además, hoy se conoce que 1.900.000 españoles que en febrero tenían trabajo ahora están desempleados.

Sigan analizando la pandemia con enfoque de género..."
Adam Schiff,"We're in the eye of the storm now, but we will get through this.

And when we do, we'll need to review our Coronavirus response in a nonpartisan fashion to ensure we're better prepared for the next pandemic.

I'm working on a bill to establish a 9/11-style commission to do so: https://t.co/2CvokGyX8Y"
Phelim Kine 林海,"Hey @WHO - a #HongKong @rthk_enews journalist who asked Dr. Bruce Aylward about #Taiwan 's #COVIDー19 response faces legal sanctions for that interview. Since freedom of information is a foundation of public health, perhaps you can speak out on her behalf? https://t.co/mOTiOiAi70"
Hillary Clinton,"Millions of people have lost their employer-tied health care over the last two weeks because of the pandemic. 

It's an easy call: Re-open the health care exchanges. 
https://t.co/otTxOpyB3b"
Sarah Riggs Amico,"Staggering: ~1 in 10 deaths from #COVID19 in the US have occurred in Louisiana, Mississippi, Alabama, and Georgia

The South needs:
- Access to quality health care &amp; doctors
- Expansion of Medicaid
- Leaders who actually believe in science and facts
#gapol
https://t.co/rF6oB8hYvK"
Chris Murphy,"Update: my office worked with Google yesterday (and many others raised the alarm too) and they have agreed to fix this. Campaigns will soon be allowed to run advertisements about Trump's coronavirus response. 

Free speech wins. For now. https://t.co/dOeJswyUMM"
ANI,"Madhya Pradesh: Health workers on whom stones were pelted by locals yesterday at Tatpatti Bakhal in Indore, today visited the same area to carry out screening services. Dr Zakiya Sayed says, ""We have sustained injuries but we have to do our job and will not be scared."" #COVID19 https://t.co/GiUBwd1F8C"
Carlos Rabascall,"Presidente @Lenin Moreno, el primer paso para enfrentar la emergencia es reconocerla, soy de Guayaquil, conozco al menos 5 personas que han fallecido en estos días. No se engañe, la situación es dramática y es su obligación como Presidente actuar. (1/2)
https://t.co/z0ldi1WOHa"
John Solomon,"Virus nixes President Trump's stadium rallies, so his campaign has turned to virtual rallies on digital TV where it is drawing millions of viewers. https://t.co/5ZYDlIJj0I"
Tuğçe Toralı,"Muş’ta 88 yaşında bir hastamız koronavirüsü yendi, taburcu edildi. 

Aslanım beee!    #covid19"
Robert Cooper 🌊,"More than 2,000 ventilators, a key piece of equipment to treat coronavirus patients, in the federal stockpile are unavailable to be deployed because the Trump administration failed to maintain the devices as they were in storage. 

#TrumpOwnsEveryDeath

https://t.co/1Kq0tnjgee"
Nalini 🌼,Doctors from Deen Dayal Upadhyay hospital confirm to me that some of the markaz patients brought into the hospital were intentionally spitting everywhere inside the ward and urinating outside toilets because they “didn’t believe in coronavirus” and “thought it was a conspiracy”.
