User,Tweet
Scott Dworkin,"BREAKING: Navy Sec Thomas Modly just submitted his resignation letter to Defense Sec Esper. Modly is the one who talked trash about hero Captain Crozier, who blew the whistle on coronavirus spreading on his ship."
Portuaris,🔴Los ESTIBADORES de Barcelona rechazan lucrarse con esta pandemia y DONAN 74.000 euros a @salutcat para la lucha contra el #COVID19. Es la parte de sus salarios q se corresponde con la carga y descarga de productos sanitarios y de primera necesidad del @portdebarcelona este mes
Tammy Bruce,WATCH: ABC’s Jon Karl Salutes Fauci — Fauci Fires Back With Finger Guns https://t.co/XMOQIawuPU via @dailycaller
"Jack M. Posobiec, IWO","Can we stop for a minute and just point out that the @WHCA allowed a Chinese-controlled outlet to use the White House coronavirus briefings as a platform to peddle CCP propaganda

What is going on with that!"
Gu rd a Civ l 🇪🇸,"Nuestro adiós dolorido a Fernando, guardia civil destinado en Navalmoral de la Mata #Cáceres, fallecido hoy en Plasencia víctima del #COVID19 

Nuestro más sentido pésame a sus familiares, amigos y compañeros.

Descansa en paz, Hermano https://t.co/l01SHVPu35"
PoliticsVideoChannel,BREAKING: Howard Dean just said he will no longer appear on MSNBC if the network continues to broadcast President Trump’s daily coronavirus press conferences live.
Rachel Maddow MSNBC,"Iowa Gov Kim Reynolds tells state ""last week has been especially hard,"" and ""this week will be equally, if not more, difficult.”

Great. Good talk.

She still won't issue a statewide stay at home order.

&gt;20% of the &gt;1000 cases in Iowa are health workers.
https://t.co/dDGhBxjcPh"
EL PAÍS,"🔴 ÚLTIMA HORA | Francia registra 1.427 muertes en 24 horas, la mayor cifra en Europa en un solo día. El país suma 10.328 fallecidos a causa de Covid-19 https://t.co/uVDor9lMou https://t.co/veNj7eN3Zv"
Dinesh D'Souza,"It seems the death rate is being exaggerated, as it was in Italy,  by including people with other terminal conditions. People routinely die from other things so the real #Coronavirus death rate comes from subtracting the “normal” rate (say from last year) from the current rate"
💥robg💥🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🍎🏋️‍♂️👑💥💥💥,"Rush Limbaugh is on fire today.

🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

He's now talking about how Red China is buying thousands of Facebook ads blaming President Trump for the coronavirus 

🔥🔥🔥🔥👌🔥👌👌🔥🔥🔥

This is true foreign Interference in our election.

Where's the leftist outrage?"
a  perez henares,"PALABRAS EN LIBERTAD Mi razón para abandonar Al Rojo Vivo y mi denuncia de la consigna gubernamental, acatada sumisamente, de ocultar muerte, dolor y sufrimiento.¡Que los muertos no salgan en la tele! Coronavirus  Esconder a los muertos https://t.co/0h6nuOrCY1 vía @YouTube"
Rachel Maddow MSNBC,"""New White House Press Secretary Said a Month Ago That the Coronavirus Would Never Spread to the U.S.""
https://t.co/YrOOcAa6ry"
Scott Dworkin,I like presidents who don’t try to make money off the coronavirus.
Christine Pelosi,"Just this week Trump fired 2 inspector generals, retained an incompetent Acting Navy Secretary #FireModly, had his Supreme Court majority toss #WisconsinPrimary votes and installed a #COVID19 denier as press secretary. This is what dictatorship looks like! https://t.co/wcM8eUgxIM"
David Freedlander,"Photo of the day, of voters in Milwaukee 
https://t.co/iSYFnCxxXy https://t.co/R7U0KWnr0z"
Shefali Vaidya.,This is not @anant_karmuse’s back bruised by @Awhadspeaks and his goons. This is the bright record of the best CM in INDIA @OfficeofUT’s handling of the coronavirus. As certified by paid hacks like @nikhilwagle and libtards for hire like  @ReallySwara https://t.co/0fJuF9QbH4
Kyle Griffin,Inbox: Rep. Katie Porter has released a report showing that mask and ventilator exports from the U.S. increased dramatically in early 2020 and that Trump's promised fed contracts for PPE and ventilators won't be completed until after the coronavirus peak. https://t.co/xqrHF3p8KO
Elizabeth Warren,"No American should have to choose between participating in our democracy and keeping themselves safe. In the next coronavirus relief package, I’m fighting for a plan to protect the health and safety of voters and strengthen our democracy for the long haul. https://t.co/FXhiQgZpdm"
Chuck Schumer,"President Trump is abusing the coronavirus pandemic to eliminate honest and independent public servants because they are willing to speak truth to power and because he is so clearly afraid of strong oversight.

https://t.co/eWtMGZEgk9"
Luis del Pino,En memoria de los miles de españoles muertos por el coronavirus. https://t.co/5FmKHytSnL
Julio Mazzoleni,"Ante situación actual de #COVID19 en el país, recomiendo uso de marcarillas de tela a quienes concurran a lugares cerrados como transporte público, supermercados, bancos, etc. Las mascarillas de tela son lavables y permiten una protección razonable con el uso correcto.@msaludpy https://t.co/7fgx2J6owC"
